,Date,Commodity,Modal,Market
41,07-02-2019,Onion,1564.666474,Kolar
42,08-02-2019,Onion,1562.870377,Kolar
43,09-02-2019,Onion,1527.449518,Kolar
44,10-02-2019,Onion,1559.796745,Kolar
45,11-02-2019,Onion,1503.1359,Kolar
46,12-02-2019,Onion,1556.111109,Kolar
47,13-02-2019,Onion,1553.660838,Kolar
48,14-02-2019,Onion,1559.913581,Kolar
49,15-02-2019,Onion,1598.88236,Kolar
50,16-02-2019,Onion,1600.253886,Kolar
51,17-02-2019,Onion,1570.05949,Kolar
52,18-02-2019,Onion,1559.295159,Kolar
53,19-02-2019,Onion,1574.650286,Kolar
54,20-02-2019,Onion,1572.84014,Kolar
55,21-02-2019,Onion,1537.407153,Kolar
56,22-02-2019,Onion,1569.744196,Kolar
57,23-02-2019,Onion,1513.074375,Kolar
58,24-02-2019,Onion,1566.042216,Kolar
59,25-02-2019,Onion,1563.585492,Kolar
0,01-01-2019,Onion,769.6391716,Bengaluru
1,02-01-2019,Onion,777.926444,Bengaluru
2,03-01-2019,Onion,701.2993513,Bengaluru
3,04-01-2019,Onion,678.8860803,Bengaluru
4,05-01-2019,Onion,727.7347764,Bengaluru
5,06-01-2019,Onion,715.1572071,Bengaluru
6,07-01-2019,Onion,668.6731525,Bengaluru
7,08-01-2019,Onion,736.9085642,Bengaluru
8,09-01-2019,Onion,684.0111046,Bengaluru
9,10-01-2019,Onion,664.2580633,Bengaluru
10,11-01-2019,Onion,670.893897,Bengaluru
11,12-01-2019,Onion,755.7990189,Bengaluru
12,13-01-2019,Onion,649.4298631,Bengaluru
13,14-01-2019,Onion,680.0244112,Bengaluru
14,15-01-2019,Onion,614.9180481,Bengaluru
15,16-01-2019,Onion,609.1024813,Bengaluru
16,17-01-2019,Onion,671.5257017,Bengaluru
17,18-01-2019,Onion,670.6567644,Bengaluru
18,19-01-2019,Onion,630.2906202,Bengaluru
19,20-01-2019,Onion,703.6392603,Bengaluru
20,21-01-2019,Onion,653.9214517,Bengaluru
21,22-01-2019,Onion,637.5041882,Bengaluru
22,23-01-2019,Onion,641.6190722,Bengaluru
23,24-01-2019,Onion,732.0167653,Bengaluru
24,25-01-2019,Onion,628.5535717,Bengaluru
25,26-01-2019,Onion,661.5883337,Bengaluru
26,27-01-2019,Onion,598.2256252,Bengaluru
27,28-01-2019,Onion,594.0628386,Bengaluru
28,29-01-2019,Onion,657.8231663,Bengaluru
29,30-01-2019,Onion,658.0567281,Bengaluru
30,31-01-2019,Onion,618.464775,Bengaluru
31,01-02-2019,Onion,692.4427208,Bengaluru
32,02-02-2019,Onion,643.1992614,Bengaluru
33,03-02-2019,Onion,627.1901171,Bengaluru
34,04-02-2019,Onion,631.4556596,Bengaluru
35,05-02-2019,Onion,722.2312239,Bengaluru
36,06-02-2019,Onion,619.0203719,Bengaluru
37,07-02-2019,Onion,652.2616197,Bengaluru
38,08-02-2019,Onion,589.0575236,Bengaluru
39,09-02-2019,Onion,585.0308629,Bengaluru
40,10-02-2019,Onion,648.9009492,Bengaluru
41,11-02-2019,Onion,649.2237193,Bengaluru
42,12-02-2019,Onion,609.6996795,Bengaluru
43,13-02-2019,Onion,683.7324778,Bengaluru
44,14-02-2019,Onion,634.5320538,Bengaluru
45,15-02-2019,Onion,618.5584331,Bengaluru
46,16-02-2019,Onion,622.8464878,Bengaluru
47,17-02-2019,Onion,713.6489216,Bengaluru
48,18-02-2019,Onion,610.4579214,Bengaluru
49,19-02-2019,Onion,643.7152576,Bengaluru
50,20-02-2019,Onion,580.5238472,Bengaluru
51,21-02-2019,Onion,576.5076824,Bengaluru
52,22-02-2019,Onion,640.3862203,Bengaluru
53,23-02-2019,Onion,640.7158202,Bengaluru
54,24-02-2019,Onion,601.197143,Bengaluru
55,25-02-2019,Onion,675.2342625,Bengaluru
56,26-02-2019,Onion,626.0372773,Bengaluru
57,27-02-2019,Onion,610.0664537,Bengaluru
58,28-02-2019,Onion,614.3565515,Bengaluru
59,01-03-2019,Onion,705.1609277,Bengaluru
